<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20130301,000000,241.8800000
ROSN,D,20130304,000000,241.5500000
ROSN,D,20130305,000000,244.8600000
ROSN,D,20130306,000000,247.6100000
ROSN,D,20130307,000000,248.3100000
ROSN,D,20130311,000000,248.3400000
ROSN,D,20130312,000000,248.4600000
ROSN,D,20130313,000000,246.6300000
ROSN,D,20130314,000000,244.3200000
ROSN,D,20130315,000000,242.5400000
ROSN,D,20130318,000000,238.5800000
ROSN,D,20130319,000000,236.4000000
ROSN,D,20130320,000000,237.8500000
ROSN,D,20130321,000000,242.2400000
ROSN,D,20130322,000000,237.5900000
ROSN,D,20130325,000000,241.5900000
ROSN,D,20130326,000000,237.7600000
ROSN,D,20130327,000000,238.6100000
ROSN,D,20130328,000000,237.1500000
ROSN,D,20130329,000000,238.6600000
ROSN,D,20130401,000000,236.5000000
ROSN,D,20130402,000000,236.5000000
ROSN,D,20130403,000000,235.1300000
ROSN,D,20130404,000000,236.9600000
ROSN,D,20130405,000000,230.8700000
ROSN,D,20130408,000000,225.9700000
ROSN,D,20130409,000000,224.8700000
ROSN,D,20130410,000000,225.9500000
ROSN,D,20130411,000000,222.0000000
ROSN,D,20130412,000000,223.4100000
ROSN,D,20130415,000000,221.8000000
ROSN,D,20130416,000000,219.8400000
ROSN,D,20130417,000000,214.8400000
ROSN,D,20130418,000000,213.5000000
ROSN,D,20130419,000000,214.9900000
ROSN,D,20130422,000000,217.2900000
ROSN,D,20130423,000000,215.3000000
ROSN,D,20130424,000000,219.7000000
ROSN,D,20130425,000000,216.8400000
ROSN,D,20130426,000000,214.8000000
ROSN,D,20130429,000000,213.9500000
ROSN,D,20130430,000000,214.3800000
ROSN,D,20130502,000000,215.0000000
ROSN,D,20130503,000000,219.8900000
ROSN,D,20130506,000000,220.5000000
ROSN,D,20130507,000000,218.7300000
ROSN,D,20130508,000000,221.6400000
ROSN,D,20130510,000000,222.8200000
ROSN,D,20130513,000000,223.0700000
ROSN,D,20130514,000000,223.7100000
ROSN,D,20130515,000000,221.4400000
ROSN,D,20130516,000000,218.3000000
ROSN,D,20130517,000000,219.5200000
ROSN,D,20130520,000000,219.3000000
ROSN,D,20130521,000000,220.5000000
ROSN,D,20130522,000000,224.3000000
ROSN,D,20130523,000000,214.3800000
ROSN,D,20130524,000000,212.5900000
ROSN,D,20130527,000000,211.3700000
ROSN,D,20130528,000000,213.7200000
ROSN,D,20130529,000000,212.4000000
ROSN,D,20130530,000000,215.3800000
ROSN,D,20130531,000000,211.5000000
ROSN,D,20130603,000000,210.2000000
ROSN,D,20130604,000000,210.6100000
ROSN,D,20130605,000000,208.9000000
ROSN,D,20130606,000000,208.5500000
ROSN,D,20130607,000000,215.2200000
ROSN,D,20130610,000000,216.7700000
ROSN,D,20130611,000000,208.5000000
ROSN,D,20130613,000000,208.8000000
ROSN,D,20130614,000000,210.8700000
ROSN,D,20130617,000000,215.6500000
ROSN,D,20130618,000000,218.2000000
ROSN,D,20130619,000000,219.3700000
ROSN,D,20130620,000000,220.5300000
ROSN,D,20130621,000000,222.7500000
ROSN,D,20130624,000000,227.0000000
ROSN,D,20130625,000000,231.2600000
ROSN,D,20130626,000000,228.5000000
ROSN,D,20130627,000000,222.8700000
ROSN,D,20130628,000000,227.8000000
ROSN,D,20130701,000000,229.3800000
ROSN,D,20130702,000000,227.8900000
ROSN,D,20130703,000000,229.6700000
ROSN,D,20130704,000000,230.0300000
ROSN,D,20130705,000000,228.9600000
ROSN,D,20130708,000000,233.2900000
ROSN,D,20130709,000000,232.6600000
ROSN,D,20130710,000000,233.8900000
ROSN,D,20130711,000000,239.7000000
ROSN,D,20130712,000000,247.0900000
ROSN,D,20130715,000000,247.6300000
ROSN,D,20130716,000000,245.9800000
ROSN,D,20130717,000000,248.7200000
ROSN,D,20130718,000000,244.9700000
ROSN,D,20130719,000000,243.4500000
ROSN,D,20130722,000000,243.2500000
ROSN,D,20130723,000000,243.7300000
ROSN,D,20130724,000000,242.6500000
ROSN,D,20130725,000000,240.8200000
ROSN,D,20130726,000000,240.8700000
ROSN,D,20130729,000000,239.1000000
ROSN,D,20130730,000000,236.1000000
ROSN,D,20130731,000000,234.5000000
ROSN,D,20130801,000000,238.1800000
ROSN,D,20130802,000000,237.6000000
ROSN,D,20130805,000000,238.9100000
ROSN,D,20130806,000000,233.9000000
ROSN,D,20130807,000000,231.9400000
ROSN,D,20130808,000000,228.8800000
ROSN,D,20130809,000000,233.2500000
ROSN,D,20130812,000000,234.9600000
ROSN,D,20130813,000000,237.0000000
ROSN,D,20130814,000000,237.8800000
ROSN,D,20130815,000000,232.8200000
ROSN,D,20130816,000000,230.7600000
ROSN,D,20130819,000000,230.2600000
ROSN,D,20130820,000000,227.5000000
ROSN,D,20130821,000000,229.1000000
ROSN,D,20130822,000000,234.3900000
ROSN,D,20130823,000000,234.9900000
ROSN,D,20130826,000000,235.2000000
ROSN,D,20130827,000000,234.2700000
ROSN,D,20130828,000000,238.8800000
ROSN,D,20130829,000000,243.1100000
ROSN,D,20130830,000000,246.3300000
ROSN,D,20130902,000000,244.2200000
ROSN,D,20130903,000000,245.3900000
ROSN,D,20130904,000000,249.0200000
ROSN,D,20130905,000000,259.7500000
ROSN,D,20130906,000000,263.9800000
ROSN,D,20130909,000000,263.0000000
ROSN,D,20130910,000000,258.0100000
ROSN,D,20130911,000000,255.7500000
ROSN,D,20130912,000000,258.4700000
ROSN,D,20130913,000000,258.1200000
ROSN,D,20130916,000000,263.4900000
ROSN,D,20130917,000000,265.3900000
ROSN,D,20130918,000000,262.8100000
ROSN,D,20130919,000000,265.9800000
ROSN,D,20130920,000000,262.8000000
ROSN,D,20130923,000000,262.4500000
ROSN,D,20130924,000000,259.6700000
ROSN,D,20130925,000000,262.0500000
ROSN,D,20130926,000000,263.6800000
ROSN,D,20130927,000000,265.3000000
ROSN,D,20130930,000000,263.7100000
ROSN,D,20131001,000000,263.5000000
ROSN,D,20131002,000000,260.2500000
ROSN,D,20131003,000000,260.0500000
ROSN,D,20131004,000000,262.1900000
ROSN,D,20131007,000000,262.0900000
ROSN,D,20131008,000000,264.0000000
ROSN,D,20131009,000000,262.9800000
ROSN,D,20131010,000000,265.0000000
ROSN,D,20131011,000000,265.0900000
ROSN,D,20131014,000000,265.0200000
ROSN,D,20131015,000000,265.5000000
ROSN,D,20131016,000000,261.0200000
ROSN,D,20131017,000000,256.8700000
ROSN,D,20131018,000000,260.9600000
ROSN,D,20131021,000000,259.5900000
ROSN,D,20131022,000000,260.0100000
ROSN,D,20131023,000000,254.4600000
ROSN,D,20131024,000000,251.5000000
ROSN,D,20131025,000000,252.2000000
ROSN,D,20131028,000000,253.8400000
ROSN,D,20131029,000000,253.6100000
ROSN,D,20131030,000000,250.0000000
ROSN,D,20131031,000000,254.0000000
ROSN,D,20131101,000000,251.9800000
ROSN,D,20131105,000000,249.3300000
ROSN,D,20131106,000000,249.0000000
ROSN,D,20131107,000000,248.7500000
ROSN,D,20131108,000000,245.9200000
ROSN,D,20131111,000000,244.0000000
ROSN,D,20131112,000000,247.5400000
