<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,60,20160303,100000,106.6800000,10512600
SBER,60,20160303,110000,106.6700000,7771700
SBER,60,20160303,120000,107.1600000,6148530
SBER,60,20160303,130000,107.3400000,8182350
SBER,60,20160303,140000,107.1200000,4204900
SBER,60,20160303,150000,107.3700000,4102070
SBER,60,20160303,160000,105.7700000,16118850
SBER,60,20160303,170000,106.0900000,13377540
SBER,60,20160303,180000,106.9900000,9721180
SBER,60,20160304,100000,106.8300000,10738130
SBER,60,20160304,110000,107.3400000,10829980
SBER,60,20160304,120000,107.1700000,5615060
SBER,60,20160304,130000,107.9100000,7889490
SBER,60,20160304,140000,108.2000000,8847890
SBER,60,20160304,150000,108.3200000,7008400
SBER,60,20160304,160000,108.1400000,7453770
SBER,60,20160304,170000,108.6000000,12028420
SBER,60,20160304,180000,108.9900000,13644240
SBER,60,20160307,100000,109.2600000,9860670
SBER,60,20160307,110000,109.9500000,18672710
SBER,60,20160307,120000,109.7600000,4668750
SBER,60,20160307,130000,109.6100000,6094480
SBER,60,20160307,140000,109.5000000,3413580
SBER,60,20160307,150000,109.5900000,5022570
SBER,60,20160307,160000,109.0500000,5891760
SBER,60,20160307,170000,108.7300000,10868010
SBER,60,20160307,180000,109.4700000,10458830
SBER,60,20160309,100000,108.0600000,16102600
SBER,60,20160309,110000,107.8600000,12468250
SBER,60,20160309,120000,108.0300000,9277770
SBER,60,20160309,130000,108.1200000,2891730
SBER,60,20160309,140000,108.2000000,2126500
SBER,60,20160309,150000,108.2100000,7003340
SBER,60,20160309,160000,107.9900000,6119470
SBER,60,20160309,170000,108.0100000,4369950
SBER,60,20160309,180000,108.1500000,12020010
SBER,60,20160310,100000,108.2100000,7515120
SBER,60,20160310,110000,109.4700000,21565050
SBER,60,20160310,120000,109.1700000,12274270
SBER,60,20160310,130000,109.0100000,8791700
SBER,60,20160310,140000,109.0200000,4391380
SBER,60,20160310,150000,109.0600000,4933000
SBER,60,20160310,160000,109.4100000,11625300
SBER,60,20160310,170000,108.9700000,15165180
SBER,60,20160310,180000,108.8400000,8646390
SBER,60,20160311,100000,109.3100000,7766050
SBER,60,20160311,110000,109.5700000,8734540
SBER,60,20160311,120000,109.5200000,4511980
SBER,60,20160311,130000,109.6900000,10339090
SBER,60,20160311,140000,109.6200000,3981330
SBER,60,20160311,150000,109.4900000,4060230
SBER,60,20160311,160000,108.7100000,10253970
SBER,60,20160311,170000,109.0600000,6359640
SBER,60,20160311,180000,109.2600000,5234670
SBER,60,20160314,100000,109.2400000,10521720
SBER,60,20160314,110000,108.9500000,9315800
SBER,60,20160314,120000,109.1100000,4792330
SBER,60,20160314,130000,108.8900000,3049680
SBER,60,20160314,140000,108.6100000,7893190
SBER,60,20160314,150000,108.5900000,3672280
SBER,60,20160314,160000,108.7500000,8351550
SBER,60,20160314,170000,109.2800000,13642100
SBER,60,20160314,180000,109.2600000,5209240
SBER,60,20160315,100000,109.6600000,16625930
SBER,60,20160315,110000,109.0000000,11517190
SBER,60,20160315,120000,108.8300000,8404910
SBER,60,20160315,130000,108.7500000,4960040
SBER,60,20160315,140000,107.8000000,14531960
SBER,60,20160315,150000,107.7700000,29452730
