<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SPFB.RTS,D,20150305,000000,91060.0000000
SPFB.RTS,D,20150306,000000,89470.0000000
SPFB.RTS,D,20150310,000000,82140.0000000
SPFB.RTS,D,20150311,000000,83840.0000000
SPFB.RTS,D,20150312,000000,83300.0000000
SPFB.RTS,D,20150313,000000,80460.0000000
SPFB.RTS,D,20150316,000000,80560.0000000
SPFB.RTS,D,20150317,000000,81400.0000000
SPFB.RTS,D,20150318,000000,85560.0000000
SPFB.RTS,D,20150319,000000,82640.0000000
SPFB.RTS,D,20150320,000000,85330.0000000
SPFB.RTS,D,20150323,000000,84600.0000000
SPFB.RTS,D,20150324,000000,87000.0000000
SPFB.RTS,D,20150325,000000,87300.0000000
SPFB.RTS,D,20150326,000000,85520.0000000
SPFB.RTS,D,20150327,000000,83910.0000000
SPFB.RTS,D,20150330,000000,86610.0000000
SPFB.RTS,D,20150331,000000,86240.0000000
SPFB.RTS,D,20150401,000000,89360.0000000
SPFB.RTS,D,20150402,000000,92760.0000000
SPFB.RTS,D,20150403,000000,92600.0000000
SPFB.RTS,D,20150406,000000,95710.0000000
SPFB.RTS,D,20150407,000000,95600.0000000
SPFB.RTS,D,20150408,000000,97400.0000000
SPFB.RTS,D,20150409,000000,100540.0000000
SPFB.RTS,D,20150410,000000,97010.0000000
SPFB.RTS,D,20150413,000000,99560.0000000
SPFB.RTS,D,20150414,000000,101120.0000000
SPFB.RTS,D,20150415,000000,105910.0000000
SPFB.RTS,D,20150416,000000,106040.0000000
SPFB.RTS,D,20150417,000000,100360.0000000
SPFB.RTS,D,20150420,000000,98650.0000000
SPFB.RTS,D,20150421,000000,99380.0000000
SPFB.RTS,D,20150422,000000,100300.0000000
SPFB.RTS,D,20150423,000000,102500.0000000
SPFB.RTS,D,20150424,000000,103000.0000000
SPFB.RTS,D,20150427,000000,100420.0000000
SPFB.RTS,D,20150428,000000,101560.0000000
SPFB.RTS,D,20150429,000000,102250.0000000
SPFB.RTS,D,20150430,000000,101970.0000000
SPFB.RTS,D,20150505,000000,105830.0000000
SPFB.RTS,D,20150506,000000,104110.0000000
SPFB.RTS,D,20150507,000000,104690.0000000
SPFB.RTS,D,20150508,000000,104670.0000000
SPFB.RTS,D,20150512,000000,106960.0000000
SPFB.RTS,D,20150513,000000,106830.0000000
SPFB.RTS,D,20150514,000000,105550.0000000
SPFB.RTS,D,20150515,000000,107170.0000000
SPFB.RTS,D,20150518,000000,106650.0000000
SPFB.RTS,D,20150519,000000,104580.0000000
SPFB.RTS,D,20150520,000000,102760.0000000
SPFB.RTS,D,20150521,000000,103960.0000000
SPFB.RTS,D,20150522,000000,104360.0000000
SPFB.RTS,D,20150525,000000,104600.0000000
SPFB.RTS,D,20150526,000000,101830.0000000
SPFB.RTS,D,20150527,000000,100000.0000000
SPFB.RTS,D,20150528,000000,99480.0000000
SPFB.RTS,D,20150529,000000,97830.0000000
SPFB.RTS,D,20150601,000000,94870.0000000
SPFB.RTS,D,20150602,000000,98340.0000000
SPFB.RTS,D,20150603,000000,95000.0000000
SPFB.RTS,D,20150604,000000,90990.0000000
SPFB.RTS,D,20150605,000000,92530.0000000
SPFB.RTS,D,20150608,000000,92250.0000000
SPFB.RTS,D,20150609,000000,94000.0000000
SPFB.RTS,D,20150610,000000,92820.0000000
SPFB.RTS,D,20150611,000000,92030.0000000
SPFB.RTS,D,20150615,000000,93040.0000000
SPFB.RTS,D,20150616,000000,94640.0000000
SPFB.RTS,D,20150617,000000,94990.0000000
SPFB.RTS,D,20150618,000000,94960.0000000
SPFB.RTS,D,20150619,000000,93840.0000000
SPFB.RTS,D,20150622,000000,94700.0000000
SPFB.RTS,D,20150623,000000,94700.0000000
SPFB.RTS,D,20150624,000000,92510.0000000
SPFB.RTS,D,20150625,000000,91310.0000000
SPFB.RTS,D,20150626,000000,91990.0000000
SPFB.RTS,D,20150629,000000,89250.0000000
SPFB.RTS,D,20150630,000000,91650.0000000
SPFB.RTS,D,20150701,000000,89920.0000000
SPFB.RTS,D,20150702,000000,90650.0000000
SPFB.RTS,D,20150703,000000,89590.0000000
SPFB.RTS,D,20150706,000000,87310.0000000
SPFB.RTS,D,20150707,000000,88370.0000000
SPFB.RTS,D,20150708,000000,85390.0000000
SPFB.RTS,D,20150709,000000,86560.0000000
SPFB.RTS,D,20150710,000000,89230.0000000
SPFB.RTS,D,20150713,000000,90020.0000000
SPFB.RTS,D,20150714,000000,90770.0000000
SPFB.RTS,D,20150715,000000,89800.0000000
SPFB.RTS,D,20150716,000000,91000.0000000
SPFB.RTS,D,20150717,000000,90990.0000000
SPFB.RTS,D,20150720,000000,89380.0000000
SPFB.RTS,D,20150721,000000,89780.0000000
SPFB.RTS,D,20150722,000000,88890.0000000
SPFB.RTS,D,20150723,000000,87460.0000000
SPFB.RTS,D,20150724,000000,85590.0000000
SPFB.RTS,D,20150727,000000,83060.0000000
SPFB.RTS,D,20150728,000000,84080.0000000
SPFB.RTS,D,20150729,000000,86890.0000000
SPFB.RTS,D,20150730,000000,85990.0000000
SPFB.RTS,D,20150731,000000,84810.0000000
SPFB.RTS,D,20150803,000000,81870.0000000
SPFB.RTS,D,20150804,000000,83390.0000000
SPFB.RTS,D,20150805,000000,82960.0000000
SPFB.RTS,D,20150806,000000,82700.0000000
SPFB.RTS,D,20150807,000000,82850.0000000
SPFB.RTS,D,20150810,000000,85200.0000000
SPFB.RTS,D,20150811,000000,82710.0000000
SPFB.RTS,D,20150812,000000,83130.0000000
SPFB.RTS,D,20150813,000000,82500.0000000
SPFB.RTS,D,20150814,000000,82430.0000000
SPFB.RTS,D,20150817,000000,81590.0000000
SPFB.RTS,D,20150818,000000,80900.0000000
SPFB.RTS,D,20150819,000000,78700.0000000
SPFB.RTS,D,20150820,000000,77960.0000000
SPFB.RTS,D,20150821,000000,75460.0000000
SPFB.RTS,D,20150824,000000,72170.0000000
SPFB.RTS,D,20150825,000000,74200.0000000
SPFB.RTS,D,20150826,000000,76500.0000000
SPFB.RTS,D,20150827,000000,81150.0000000
SPFB.RTS,D,20150828,000000,82690.0000000
SPFB.RTS,D,20150831,000000,84330.0000000
SPFB.RTS,D,20150901,000000,78780.0000000
SPFB.RTS,D,20150902,000000,79900.0000000
SPFB.RTS,D,20150903,000000,79840.0000000
SPFB.RTS,D,20150904,000000,77610.0000000
SPFB.RTS,D,20150907,000000,77860.0000000
SPFB.RTS,D,20150908,000000,79490.0000000
SPFB.RTS,D,20150909,000000,78440.0000000
SPFB.RTS,D,20150910,000000,79440.0000000
SPFB.RTS,D,20150911,000000,79030.0000000
SPFB.RTS,D,20150914,000000,80080.0000000
SPFB.RTS,D,20150915,000000,81100.0000000
SPFB.RTS,D,20150916,000000,83020.0000000
SPFB.RTS,D,20150917,000000,83250.0000000
SPFB.RTS,D,20150918,000000,80690.0000000
SPFB.RTS,D,20150921,000000,80800.0000000
SPFB.RTS,D,20150922,000000,78840.0000000
SPFB.RTS,D,20150923,000000,77130.0000000
SPFB.RTS,D,20150924,000000,77350.0000000
SPFB.RTS,D,20150925,000000,78570.0000000
SPFB.RTS,D,20150928,000000,76950.0000000
SPFB.RTS,D,20150929,000000,77770.0000000
SPFB.RTS,D,20150930,000000,78760.0000000
SPFB.RTS,D,20151001,000000,77750.0000000
SPFB.RTS,D,20151002,000000,77650.0000000
SPFB.RTS,D,20151005,000000,80500.0000000
SPFB.RTS,D,20151006,000000,83020.0000000
SPFB.RTS,D,20151007,000000,84330.0000000
SPFB.RTS,D,20151008,000000,87820.0000000
SPFB.RTS,D,20151009,000000,87600.0000000
SPFB.RTS,D,20151012,000000,85900.0000000
SPFB.RTS,D,20151013,000000,85530.0000000
SPFB.RTS,D,20151014,000000,86590.0000000
SPFB.RTS,D,20151015,000000,89790.0000000
SPFB.RTS,D,20151016,000000,88830.0000000
SPFB.RTS,D,20151019,000000,87040.0000000
SPFB.RTS,D,20151020,000000,87300.0000000
SPFB.RTS,D,20151021,000000,85240.0000000
SPFB.RTS,D,20151022,000000,86660.0000000
SPFB.RTS,D,20151023,000000,87590.0000000
SPFB.RTS,D,20151026,000000,85290.0000000
SPFB.RTS,D,20151027,000000,83350.0000000
SPFB.RTS,D,20151028,000000,85300.0000000
SPFB.RTS,D,20151029,000000,83420.0000000
SPFB.RTS,D,20151030,000000,84290.0000000
SPFB.RTS,D,20151102,000000,86090.0000000
SPFB.RTS,D,20151103,000000,89550.0000000
SPFB.RTS,D,20151105,000000,88120.0000000
SPFB.RTS,D,20151106,000000,85800.0000000
SPFB.RTS,D,20151109,000000,84790.0000000
SPFB.RTS,D,20151110,000000,84900.0000000
SPFB.RTS,D,20151111,000000,83470.0000000
SPFB.RTS,D,20151112,000000,82060.0000000
SPFB.RTS,D,20151113,000000,81700.0000000
SPFB.RTS,D,20151116,000000,84970.0000000
SPFB.RTS,D,20151117,000000,86630.0000000
SPFB.RTS,D,20151118,000000,89000.0000000
SPFB.RTS,D,20151119,000000,88350.0000000
SPFB.RTS,D,20151120,000000,89100.0000000
SPFB.RTS,D,20151123,000000,89220.0000000
SPFB.RTS,D,20151124,000000,87400.0000000
SPFB.RTS,D,20151125,000000,88550.0000000
SPFB.RTS,D,20151126,000000,87530.0000000
SPFB.RTS,D,20151127,000000,85010.0000000
SPFB.RTS,D,20151130,000000,84140.0000000
SPFB.RTS,D,20151201,000000,83990.0000000
SPFB.RTS,D,20151202,000000,82080.0000000
SPFB.RTS,D,20151203,000000,83670.0000000
SPFB.RTS,D,20151204,000000,81060.0000000
SPFB.RTS,D,20151207,000000,78690.0000000
SPFB.RTS,D,20151208,000000,77900.0000000
SPFB.RTS,D,20151209,000000,78400.0000000
SPFB.RTS,D,20151210,000000,77880.0000000
SPFB.RTS,D,20151211,000000,75500.0000000
SPFB.RTS,D,20151214,000000,75960.0000000
SPFB.RTS,D,20151215,000000,78250.0000000
SPFB.RTS,D,20151216,000000,78470.0000000
SPFB.RTS,D,20151217,000000,77900.0000000
SPFB.RTS,D,20151218,000000,76280.0000000
SPFB.RTS,D,20151221,000000,75480.0000000
SPFB.RTS,D,20151222,000000,75990.0000000
SPFB.RTS,D,20151223,000000,79290.0000000
SPFB.RTS,D,20151224,000000,78300.0000000
SPFB.RTS,D,20151225,000000,77510.0000000
SPFB.RTS,D,20151228,000000,75560.0000000
SPFB.RTS,D,20151229,000000,77250.0000000
SPFB.RTS,D,20151230,000000,75470.0000000
SPFB.RTS,D,20160104,000000,74300.0000000
SPFB.RTS,D,20160105,000000,75600.0000000
SPFB.RTS,D,20160106,000000,73700.0000000
SPFB.RTS,D,20160111,000000,68710.0000000
SPFB.RTS,D,20160112,000000,69050.0000000
SPFB.RTS,D,20160113,000000,68470.0000000
SPFB.RTS,D,20160114,000000,70060.0000000
SPFB.RTS,D,20160115,000000,64970.0000000
SPFB.RTS,D,20160118,000000,64470.0000000
SPFB.RTS,D,20160119,000000,65690.0000000
SPFB.RTS,D,20160120,000000,63640.0000000
SPFB.RTS,D,20160121,000000,64160.0000000
SPFB.RTS,D,20160122,000000,69270.0000000
SPFB.RTS,D,20160125,000000,67040.0000000
SPFB.RTS,D,20160126,000000,68750.0000000
SPFB.RTS,D,20160127,000000,70870.0000000
SPFB.RTS,D,20160128,000000,73160.0000000
SPFB.RTS,D,20160129,000000,74570.0000000
SPFB.RTS,D,20160201,000000,71910.0000000
SPFB.RTS,D,20160202,000000,68730.0000000
SPFB.RTS,D,20160203,000000,73200.0000000
SPFB.RTS,D,20160204,000000,72840.0000000
SPFB.RTS,D,20160205,000000,71810.0000000
SPFB.RTS,D,20160208,000000,70110.0000000
SPFB.RTS,D,20160209,000000,67380.0000000
SPFB.RTS,D,20160210,000000,68880.0000000
SPFB.RTS,D,20160211,000000,68150.0000000
SPFB.RTS,D,20160212,000000,69590.0000000
SPFB.RTS,D,20160215,000000,70840.0000000
SPFB.RTS,D,20160216,000000,71050.0000000
SPFB.RTS,D,20160217,000000,74420.0000000
SPFB.RTS,D,20160218,000000,73320.0000000
SPFB.RTS,D,20160219,000000,73200.0000000
SPFB.RTS,D,20160220,000000,72750.0000000
SPFB.RTS,D,20160222,000000,75970.0000000
SPFB.RTS,D,20160224,000000,75080.0000000
SPFB.RTS,D,20160225,000000,75990.0000000
SPFB.RTS,D,20160226,000000,74690.0000000
SPFB.RTS,D,20160229,000000,76750.0000000
SPFB.RTS,D,20160301,000000,79270.0000000
SPFB.RTS,D,20160302,000000,79200.0000000
SPFB.RTS,D,20160303,000000,79750.0000000
SPFB.RTS,D,20160304,000000,82520.0000000
SPFB.RTS,D,20160307,000000,83950.0000000
SPFB.RTS,D,20160309,000000,83740.0000000
SPFB.RTS,D,20160310,000000,81760.0000000
SPFB.RTS,D,20160311,000000,83950.0000000
SPFB.RTS,D,20160314,000000,84190.0000000
SPFB.RTS,D,20160315,000000,81770.0000000
SPFB.RTS,D,20160316,000000,84900.0000000
SPFB.RTS,D,20160317,000000,87100.0000000
SPFB.RTS,D,20160318,000000,87020.0000000
SPFB.RTS,D,20160321,000000,87980.0000000
SPFB.RTS,D,20160322,000000,87980.0000000
SPFB.RTS,D,20160323,000000,85230.0000000
SPFB.RTS,D,20160324,000000,85390.0000000
SPFB.RTS,D,20160325,000000,85400.0000000
SPFB.RTS,D,20160328,000000,84550.0000000
SPFB.RTS,D,20160329,000000,85120.0000000
SPFB.RTS,D,20160330,000000,85460.0000000
SPFB.RTS,D,20160331,000000,86570.0000000
SPFB.RTS,D,20160401,000000,86260.0000000
SPFB.RTS,D,20160404,000000,84390.0000000
SPFB.RTS,D,20160405,000000,84870.0000000
SPFB.RTS,D,20160406,000000,86480.0000000
SPFB.RTS,D,20160407,000000,85130.0000000
SPFB.RTS,D,20160408,000000,87240.0000000
SPFB.RTS,D,20160411,000000,89070.0000000
SPFB.RTS,D,20160412,000000,91130.0000000
SPFB.RTS,D,20160413,000000,91700.0000000
SPFB.RTS,D,20160414,000000,90350.0000000
SPFB.RTS,D,20160415,000000,89570.0000000
SPFB.RTS,D,20160418,000000,89430.0000000
